User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kaarkuzhal Kadavai,@_ayyvin,2021-05-21T07:14:02.000Z,to tweet was not an accusation rather calling out all the to stand up against police brutality Accuse is say You re wrong for standing up for outside Also was back could have it and educate,2,0,0
The Sweep,@Dr_chimneys7,2021-05-21T07:13:26.000Z,to and truthful clear tweet exactly the racism in police brutality against black people You have provided the answer to those people who perhaps have no moral compass or conscience but are as racist as the police who every day behind badge No,0,0,0
End Police Brutality,@PapiGhostie,2021-05-21T07:11:48.000Z,to,0,0,1
Malume Bright,@McoDeeBright,2021-05-21T07:11:48.000Z,day history shall always remember us as the generation that stood against police brutality in our country We as the generation said enough is enough faced enemy on If it death so it,0,11,28
insyi,@wahidainsyira,2021-05-21T07:11:31.000Z,dah kali police brutality in Apa police ni ni police Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,0,2
jamesQjohnson™ #Never The Former Guy,@gideon1951,2021-05-21T07:10:44.000Z,There is no mistaking the message are sending in and via There no mistaking the message are sending in and Brown and Brown are the latest in long line of by police to withhold evidence that them look bad or might allow or their to get closer to,0,1,0
♕ y/n,@5hdisaster,2021-05-21T07:09:37.000Z,guarantee safety for you if you re especially in police custody or just in the presence of police but yeah police brutality exist in cause it thing right,0,0,0
Sezzvyniia James,@sezzvyniia,2021-05-21T07:07:55.000Z,We and did our part for something that was out of our reach why not do the same for the in our country Humanity you stand for everyone not only the people of your race Injustice Humanity,0,1,2
Plain J,@syazreenaaa,2021-05-21T07:07:08.000Z,to and where do we report now Ni dah Dah la nak follow US dah,0,0,0
maximillian muhammad,@maxxxman,2021-05-21T07:06:40.000Z,Watch Police Brutality Violence In Our Society on Police Brutality Violence In Our Society on Post by,0,0,0
east wind,@eastwind47,2021-05-21T07:04:08.000Z,to and brutality new in especially to it just not made aware of and without proper The possibility of this being one of it is SUPER HIGH,0,5,25
stowey don allen,@donstnath,2021-05-21T07:04:06.000Z,Cop suspended amid of police brutality in video chief suspended amid of police brutality in video chief The is also helping the police department investigate news yahoo,0,0,0
gejala sosialite‍,@serpentbrownie,2021-05-21T07:02:35.000Z,death violence police brutality murder almost and still find death difficult to comprehend get that science of it the the whats and the People around me have on and still haven fully the idea of them being gone,1,1,9
David Papp,@DavidPapp,2021-05-21T07:01:46.000Z,Cop suspended amid of police brutality in video chief suspended amid of police brutality in video chief The is also helping the police department investigate news yahoo,0,0,0
zienab alkandery,@dunyatota,2021-05-21T07:00:25.000Z,to and for what all that love dirty face being exist worse than chapel grounds fi shoot more lesson example Throwback story,1,0,1
